Autor,Favs,RTs,Texto,Timestamp
xx,0,0,Anyone else feel like the James Charles situation is all a big publicity stunt?? Cus I’m getting more and more conf… https://t.co/UqrumEom84,2019-05-17 12:46:02
Bonar,0,0,"My Twitter: 
Abortion Laws
James Charles 
NBA Playoffs",2019-05-17 12:46:02
𝔖𝔦𝔪𝔬𝔫 + 𝔐𝔞𝔯𝔳𝔢𝔩,0,382,"RT @ImTheRealThanos: Let’s see what happens....

Retweet for me or like for James Charles..... https://t.co/OCtkWOspmQ",2019-05-17 12:46:00
Corey 🇺🇸,0,1198,RT @NolanR: How James Charles convinces straight guys they’re gay https://t.co/yGRlKEfW9d,2019-05-17 12:45:58
julius_madrideo,0,156,"RT @ida_neta: James Charles: 
- transphobic 
- hunt on straight guys 
- charges $500 for a m&amp;g 
- can’t sing

Melanie Martinez:

- openly s…",2019-05-17 12:45:54
Xavier Mikstay,0,0,@Langer_22 Think we'd be better off taking out the dudes who watch Jeffrey Star and James Charles lol,2019-05-17 12:45:50
ᴊᴀᴅᴇ ᴀᴅᴏʀᴇs ᴀʟᴇxᴀɴᴅᴇʀ,0,0,"who has done more for the beauty community? 

rt for alex turner
like for james charles https://t.co/NtLSSmui8H",2019-05-17 12:45:48
Maddie ✌️,0,24233,RT @goodbeanalt: James Charles being cancelled by the entire internet in a day is the modern version of Caesar being stabbed 23 times by th…,2019-05-17 12:45:48
Melvin Villaobos♐️,0,15463,"RT @alfiexrose: okay i get that everyone is mad at james charles but he actually made a good point here, https://t.co/qkGJjXy47I",2019-05-17 12:45:47
kung fu koji,0,0,@CaseyNeistat At least is going to be bettter than James Charles.,2019-05-17 12:45:46
Genucel,0,0,Tati Westbrook Announces YouTube Hiatus Following James Charles Feud https://t.co/8ICBC5AHzT,2019-05-17 12:45:44
Notmarianna,0,13927,"RT @hurdlermiller: Okay I’m done, this meme of Tati on James Charles wins https://t.co/djjxjDaVPj",2019-05-17 12:45:28
Jordan Elder🤟🏼,0,0,"yesterday I bought a juul, had a knock down drag out fight with Kaylena about James Charles, and slept in my roomma… https://t.co/etP7ICcVJh",2019-05-17 12:45:23
B E C C A,0,1,"RT @liambrown9804: I get what James Charles done wasn’t right, but everyone was tweeting about how important mental heath is 2 weeks ago an…",2019-05-17 12:45:18
jolie,1,0,@jaboukie @SamanthaJwan @ ppl who spent 500 dollars to see james charles say “WHOMP WHOMP WHOMP”,2019-05-17 12:45:10
holly,0,313,"RT @callummarkie: yeah this may be an unpopular opinion but whatever

if you are ""cancelling"" james charles yet still support jeffree star,…",2019-05-17 12:45:07
xx_SinisterPhotography_xx,0,17,RT @AshlyeKyle: Nikita Dragun Is NOT James Charles Friend... https://t.co/rhiAkQJDEM via @YouTube https://t.co/Yt33liKcCC,2019-05-17 12:45:04
BillBlaze,0,0,"Today's Home Page Movie: Hard Times (1975) PG IMDb 7.3 1h 33min  Crime, Drama, Sports -Stars: Charles Bronson, Jame… https://t.co/JzciAtLEfE",2019-05-17 12:45:00
💖 Seok ❄,0,311,"RT @baekchew: who has done more in the youtube industry?

rt for baekhyun
like for james charles https://t.co/qfmWlgtSst",2019-05-17 12:44:51
Neptae,0,417,"RT @ImAllexx: Jeffree Star Is Worse Than James Charles 

https://t.co/6utg7P06nA

RT if you love straight boys 😘",2019-05-17 12:44:50
Jason Sanjana,0,0,I have never felt more old than while reading this. Would you like a werther’s original? I carry them around now. H… https://t.co/QZ8syCKODb,2019-05-17 12:44:48
Rosalie Brown,0,0,Tati Westbrook wants to 'stop the abuse' against James Charles: 'I don't think anyone deserves that' https://t.co/oIannIMP3g,2019-05-17 12:44:43
Cairo Saint,0,828,RT @callummarkie: ahh sexual harassment from the man who called James Charles a predator?? can’t wait to see how many people defend physica…,2019-05-17 12:44:43
ee,0,79,"RT @Ulinox: Who did more for the beauty industry?
RT for Ulifer
Like for James Charles https://t.co/f9bkxZE81t",2019-05-17 12:44:41
ManAnns.com,0,0,"""Tati Westbrook wants to 'stop the abuse' against James Charles: 'I don't think anyone deserves that'""  via FOX NEW… https://t.co/fiEroh3lSx",2019-05-17 12:44:41
WWE,0,0,"""Tati Westbrook wants to 'stop the abuse' against James Charles: 'I don't think anyone deserves that'"" via FOX NEWS… https://t.co/qEpQr8SZSK",2019-05-17 12:44:40
Hub 4 Hugs,0,0,"""Tati Westbrook wants to 'stop the abuse' against James Charles: 'I don't think anyone deserves that'"" via FOX NEWS… https://t.co/SsYBHROfIY",2019-05-17 12:44:38
下痢を治す,0,382,"RT @ImTheRealThanos: Let’s see what happens....

Retweet for me or like for James Charles..... https://t.co/OCtkWOspmQ",2019-05-17 12:44:33
Snowcale,0,2393,"RT @augmc2: Who’s a better influence?

Retweet for Steve from Minecraft 
Like for James Charles https://t.co/OM7Z3srHEH",2019-05-17 12:44:32
Vali tatil yap,0,9,RT @randldancing: james charles' apology video https://t.co/6AUlBEjtjM,2019-05-17 12:44:29
Cairo Saint,0,313,"RT @callummarkie: yeah this may be an unpopular opinion but whatever

if you are ""cancelling"" james charles yet still support jeffree star,…",2019-05-17 12:44:28
claire is loveless as shit,0,3574,"RT @wrongparker: who’s done more for the beauty community

rt for peter parker w red eyes from crying

like for james charles red eyes from…",2019-05-17 12:44:16
Enrique,0,0,"You know with all the youtube drama and other stuff im pretty sure theres a youthber/celebrity prsion gang with 
Pr… https://t.co/xr7Vzwa8d2",2019-05-17 12:44:09
Copher Million,0,0,I really don’t know anything about all this abortion stuff but I think James Charles is behind it all,2019-05-17 12:44:08
Karina Danielle,0,199206,"RT @WWYITMBailey: TATI WESTBROOK REALLY JUST TOLD JAMES CHARLES TO- 

now that i have your attention, our planet is expected to become unin…",2019-05-17 12:44:07
Frank E Swisher,0,0,I Just Really Appreciate How Shane Dawson Responded To The James Charles And Tati Feud https://t.co/2GorEibzWE https://t.co/sDYaYhIdUE,2019-05-17 12:44:03
j 💜,0,0,like why in the world are James Charles’ subscribes going up?,2019-05-17 12:43:58
Scripturient Blogger,0,0,"@ALushIdea NEW BLOG POST: Why I’m NOT Unsubscribing from James Charles… I return all love ❤
https://t.co/0boB1gZech",2019-05-17 12:43:54
James Wood,1,0,"In further news “Although the purpose and meaning of Sir Charles Grandison had eluded scholars for over a century,… https://t.co/mjJ3AMdSVF",2019-05-17 12:43:50
Philip Li,0,4,"RT @SteephanieMarie: Tati: spilled the James tea and gained 4 million subs in 3 days

James Charles: palettes being returned, Merch supplie…",2019-05-17 12:43:50
rand connoisseur 🤤,0,55,RT @est_doll: The Tati and James Charles situation at this point 😂 https://t.co/HuBb40085i,2019-05-17 12:43:46
christian mingle the movie stan account ✝️🏳️‍🌈,2,0,apparently I have an interest in James Charles. .. yeah in him GOING TO JAIL,2019-05-17 12:43:45
Bernadette Moultrie,0,0,"""Tati Westbrook wants to 'stop the abuse' against James Charles: 'I don't think anyone deserves that'"" via FOX NEWS… https://t.co/xfNJ95EUeq",2019-05-17 12:43:38
Shane Haumpton,0,0,"""Tati Westbrook wants to 'stop the abuse' against James Charles: 'I don't think anyone deserves that'"" via FOX NEWS https://t.co/lRMIJ1WMqa",2019-05-17 12:43:37
Lex,0,0,I have never heard “and I oop” so much until the James Charles drama and now nobody is saying it anymore. Why did e… https://t.co/MchyIQgtHq,2019-05-17 12:43:32
CHRISSU | stan RAS + Shohei,0,6768,"RT @MatPatGT: In the wake of James Charles and ProJared, this needs to be said... https://t.co/TyVo4OlK1R",2019-05-17 12:43:30
emo girl,0,9403,RT @elijahdaniel: anyway congrats to james charles for hitting 15M subscribers this is such a huge milestone and step towards influencer re…,2019-05-17 12:43:26
Toto,0,4858,RT @thelightalex: JAMES CHARLES REALLY PAID PAPARAZZI TO TAKE PHOTOS OF HIM LOOKING SAD SO THAT PEOPLE WOULD FEEL SORRY FOR HIM LMAO 😭😭😭😭😭…,2019-05-17 12:43:26
jastine tayo,0,452,"RT @paupaula: Me: I’m so sick of all this James Charles drama.
Tati: Why I did it...
Me: https://t.co/2PFEo0uR7U",2019-05-17 12:43:24
Za Warudo Earth Society,0,382,"RT @ImTheRealThanos: Let’s see what happens....

Retweet for me or like for James Charles..... https://t.co/OCtkWOspmQ",2019-05-17 12:43:23
Caleb Wilson,0,34,RT @alyssajeter47: everyone on some james charles shit while jenna marbles out here smellin the bullshit and puttin out fires https://t.co/…,2019-05-17 12:43:22
Vali tatil yap,0,36,"RT @deannemistry: tati really played the reverse card on james charles’ whole career, can’t wait till she uses the +4 so he can get his 4 m…",2019-05-17 12:43:20
🥝,0,143,RT @ffemmefatale: so are y’all just gonna keep talking about james charles while dote is segregating teenage girls and lia marie johnson is…,2019-05-17 12:43:18
Shady.K,0,2424,"RT @joeyxzaragoza: james charles: im truly sorry, i’m still growing as a person and i have a long way to go 

the internet:  https://t.co/J…",2019-05-17 12:43:16
Ｌｏｕｉｓ,0,3574,"RT @wrongparker: who’s done more for the beauty community

rt for peter parker w red eyes from crying

like for james charles red eyes from…",2019-05-17 12:43:04
sunnye☀️,0,0,can everyone leave James Charles alone omg,2019-05-17 12:43:01
Luke Shaw,4,0,Certain girls looking and sounding like James Charles #WaddesdonMemories,2019-05-17 12:42:57
Vali tatil yap,0,50,"RT @juliakroesler: Tati: Completely drags James Charles in 40 minute video talking about how bad of a person he is

James: Loses 4 million…",2019-05-17 12:42:57
